id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,house_number,city,road,neighbourhood,residential,nearby_attractions,quarter_sale,sales_price,profit
40000471,2014-06-04,170000.0,2,1.0,1500,18540,1.0,0,0,3,8,1500,0,1950,0,98168,47.4727,-122.281,1700,9355,4204,Tukwila,South 146th Street,,,,1,221000.0,51000.0
41000454,2014-08-15,130000.0,2,1.0,880,9000,1.0,0,0,3,5,880,0,1928,0,98188,47.4672,-122.291,1410,10000,3220,SeaTac,South 152nd Street,,,,1,169000.0,39000.0
42000006,2014-09-10,235000.0,5,1.0,1500,9282,1.5,0,0,5,6,1500,0,1966,0,98168,47.4702,-122.281,1520,9639,14812,Tukwila,42nd Avenue South,,,,1,258500.00000000003,23500.0
42000245,2014-06-13,171000.0,4,2.0,1520,19672,1.0,0,0,3,6,1020,500,1920,0,98188,47.4683,-122.281,1810,7840,15014,Tukwila,42nd Avenue South,,,,1,222300.0,51300.0
49500090,2014-12-05,372000.0,4,1.5,1780,7914,1.5,0,0,4,7,1780,0,1962,0,98059,47.5142,-122.163,1350,8069,2520,Renton,Vashon Court Northeast,Glencoe,,,1,409200.00000000006,37200.0
52000067,2014-11-03,495000.0,3,3.5,1650,1577,2.0,0,0,3,7,1100,550,2012,0,98109,47.6302,-122.344,1580,1280,1213,Seattle,Aurora Avenue North,South Lake Union,,,1,643500.0,148500.0
53500020,2015-01-14,248000.0,3,2.5,1870,4046,2.0,0,0,3,7,1870,0,2007,0,98042,47.342,-122.059,2130,4800,21275,Kent,Southeast 289th Way,Alder's Cove,,,1,322400.0,74400.0
53500760,2014-12-08,287000.0,4,2.5,2660,4082,2.0,0,0,3,7,2660,0,2010,0,98042,47.3414,-122.055,2390,4876,21555,Kent,Southeast 290th Place,Alder's Cove,,,1,315700.0,28700.0
66000070,2015-04-06,315000.0,2,1.0,630,6550,1.0,0,0,3,5,630,0,1918,0,98126,47.5486,-122.38,1420,6550,5956,Seattle,38th Avenue Southwest,Morgan Junction,,,2,409500.0,94500.0
66000140,2014-11-20,398000.0,3,1.0,1480,6550,1.5,0,0,4,6,1480,0,1925,0,98126,47.5498,-122.381,1200,6550,5906,Seattle,39th Avenue Southwest,Morgan Junction,,,1,437800.00000000006,39800.0
66000265,2014-08-07,370000.0,2,1.0,820,6550,1.0,0,0,3,7,820,0,1949,2012,98126,47.5478,-122.381,1640,6550,6023,Seattle,38th Avenue Southwest,Morgan Junction,,,1,407000.00000000006,37000.0
84000105,2014-05-07,255000.0,5,2.25,2060,8632,1.0,0,0,3,7,1030,1030,1962,0,98146,47.4877,-122.335,1010,11680,105,Burien,Southwest 129th Street,,,,1,280500.0,25500.0
84000245,2014-11-20,190000.0,3,1.75,1100,9452,1.0,0,0,3,6,1100,0,1942,0,98146,47.4864,-122.337,1350,9452,203,Burien,Southwest 130th Street,Inglesea,,,1,247000.0,57000.0
84000335,2014-06-26,225000.0,3,2.0,1700,11475,1.0,0,0,5,6,970,730,1945,0,98146,47.4851,-122.338,1560,11475,228,Burien,Southwest 132nd Street,Inglesea,,,1,292500.0,67500.0
87000006,2015-04-13,275000.0,4,1.75,1680,19405,1.0,0,0,4,7,1560,120,1959,0,98055,47.4552,-122.202,2000,12900,16415,Renton,Benson Road South,Victoria Hills,,,1,302500.0,27500.0
87000213,2014-06-13,129000.0,2,1.0,1150,30184,1.0,0,0,3,6,1150,0,1950,0,98055,47.4492,-122.2,1670,19684,17029,Renton,106th Avenue Southeast,Victoria Hills,,,1,167700.0,38700.0
88000591,2015-04-14,212000.0,3,1.0,1000,9450,1.0,0,0,3,6,1000,0,1962,0,98055,47.4562,-122.193,1300,13500,10955,Renton,Southeast 164th Street,Victoria Hills,,,1,275600.0,63600.0
88000790,2014-07-14,252000.0,3,1.0,1170,9730,1.0,0,0,3,7,1170,0,1968,1986,98055,47.4562,-122.196,1680,10125,10821,Renton,Southeast 164th Street,Victoria Hills,,,3,327600.0,75600.0
91000320,2014-09-23,393000.0,2,1.0,980,3350,1.0,0,0,4,7,980,0,1925,0,98103,47.6858,-122.352,1260,4000,508,Seattle,North 78th Street,,,,1,510900.0,117900.0
98020310,2014-05-20,730000.0,4,2.5,3230,7331,2.0,0,0,3,10,3230,0,2004,0,98075,47.5823,-121.97,3480,7447,2951,Sammamish,278th Avenue Southeast,,Montaine at Aldarra,,1,803000.0000000001,73000.0
98020350,2015-01-23,720000.0,4,4.0,3200,7708,2.0,0,0,3,10,3200,0,2004,0,98075,47.5816,-121.97,3480,7944,2901,Sammamish,278th Avenue Southeast,,Montaine at Aldarra,,1,792000.0000000001,72000.0
100100050,2014-11-12,275000.0,3,1.0,1320,11090,1.0,0,0,3,7,1320,0,1955,0,98155,47.7748,-122.304,1320,8319,20001,Shoreline,24th Avenue Northeast,,,Islamic Community of Bosniaks in Washington,1,357500.0,82500.0
100300280,2014-10-20,355000.0,3,2.25,1430,4777,2.0,0,0,3,7,1430,0,2010,0,98059,47.4867,-122.152,1639,3854,5001,Renton,Northeast 3rd Street,Alder Crossing,,,1,390500.00000000006,35500.0
100300500,2014-11-21,333000.0,3,2.5,1520,3041,2.0,0,0,3,7,1520,0,2009,0,98059,47.4874,-122.152,1820,3229,5000,Renton,Northeast 3rd Street,Alder Crossing,,,1,432900.0,99900.0
100300530,2014-09-25,330000.0,3,2.5,1520,3003,2.0,0,0,3,7,1520,0,2009,0,98059,47.4876,-122.153,1820,3030,326,Renton,Field Place Northeast,Windsong,,,1,429000.0,99000.0
100500020,2014-09-11,250000.0,3,2.5,1610,6600,2.0,0,0,3,7,1610,0,1994,0,98003,47.2827,-122.302,1660,7689,2511,Federal Way,South 355th Place,Emery Woods,,,1,275000.0,25000.0
100600320,2014-08-13,213950.0,3,1.0,1430,7000,1.0,0,0,3,6,1430,0,1968,0,98023,47.3018,-122.369,1050,7700,2690,Federal Way,Southwest 334th Place,Twin Lakes,,,1,278135.0,64185.0
100600550,2014-08-04,226500.0,3,1.5,1300,7370,1.0,0,0,4,7,900,400,1976,0,98023,47.3025,-122.37,1430,7500,33400,Federal Way,28th Place Southwest,Twin Lakes,,,2,294450.0,67950.0
100600860,2015-03-24,237500.0,3,1.75,1050,7854,1.0,0,0,4,7,1050,0,1975,0,98023,47.3011,-122.369,1360,7668,2669,Federal Way,Southwest 335th Place,Twin Lakes,,,4,308750.0,71250.0
103400160,2014-05-15,263000.0,3,2.25,1590,7748,2.0,0,0,4,7,1590,0,1991,0,98003,47.2857,-122.3,1590,7606,35219,Federal Way,26th Court South,Emery Woods,,,1,289300.0,26300.0
104500730,2015-02-24,115000.0,3,1.75,1080,7942,1.0,0,0,3,7,1080,0,1981,0,98023,47.3141,-122.355,1380,8244,1508,Federal Way,Southwest 320th Court,,,,1,149500.0,34500.0
104501040,2014-10-03,249900.0,4,2.0,1500,7854,1.5,0,0,3,7,1500,0,1983,0,98023,47.3127,-122.354,1500,7334,32210,Federal Way,14th Avenue Southwest,,,,1,274890.0,24990.0
104510180,2015-02-11,230000.0,3,2.25,1500,7210,1.0,0,0,3,7,1150,350,1984,0,98023,47.3124,-122.352,1500,7210,32224,Federal Way,13th Place Southwest,,,,2,299000.0,69000.0
104510230,2014-11-19,252000.0,3,2.0,1540,7210,2.0,0,0,4,7,1540,0,1984,0,98023,47.3128,-122.351,1500,7210,32208,Federal Way,12th Place Southwest,,,,1,277200.0,25200.0
104510440,2014-06-04,219950.0,3,2.25,1500,7615,1.0,0,0,3,7,1150,350,1984,0,98023,47.3146,-122.351,1540,8649,32110,Federal Way,12th Place Southwest,,,,1,285935.0,65985.0
104530110,2014-10-08,268000.0,3,2.5,1850,6676,2.0,0,0,3,7,1850,0,1986,0,98023,47.3103,-122.36,1700,6663,2014,Federal Way,Southwest 325th Place,Twin Lakes,,,1,294800.0,26800.0
104530240,2014-08-27,225000.0,3,2.0,1320,5665,1.0,0,0,3,7,1320,0,1986,0,98023,47.3096,-122.357,1336,7080,1720,Federal Way,Southwest 326th Court,,,,2,292500.0,67500.0
104530490,2014-05-16,248000.0,4,3.5,1850,6519,2.0,0,0,3,7,1130,720,1986,0,98023,47.3087,-122.354,1280,6664,1512,Federal Way,Southwest 327th Street,,,,1,272800.0,24800.0
104540820,2014-08-12,221000.0,3,2.25,1430,5999,2.0,0,0,3,7,1430,0,1987,0,98023,47.3116,-122.358,1600,5999,32322,Federal Way,18th Avenue Southwest,,,,1,287300.0,66300.0
104540840,2014-12-03,240000.0,3,2.25,1460,5818,1.0,0,0,3,7,1140,320,1986,0,98023,47.3113,-122.358,1490,6031,32330,Federal Way,18th Avenue Southwest,,,,1,264000.0,24000.0
104550540,2015-01-20,259950.0,4,2.0,1610,6650,1.0,0,0,3,7,1610,0,1989,0,98023,47.3085,-122.358,1960,6650,32712,Federal Way,19th Avenue Southwest,,,,1,285945.0,25995.0
104550580,2014-05-20,260000.0,4,2.5,1990,6671,2.0,0,0,3,7,1990,0,1989,0,98023,47.3078,-122.358,1862,6566,32819,Federal Way,17th Avenue Southwest,,,,1,286000.0,26000.0
104550750,2014-07-28,241000.0,3,2.0,1520,7131,1.0,0,0,3,8,1520,0,1993,0,98023,47.3061,-122.361,1890,7379,,Federal Way,21st Avenue Southwest,,,,1,265100.0,24100.0
106000015,2014-06-19,435000.0,3,1.75,1310,8065,1.0,0,0,4,6,1310,0,1948,0,98117,47.701,-122.368,1420,8100,9729,Seattle,Dibble Avenue Northwest,Crown Hill,,,1,565500.0,130500.0
106000044,2014-08-26,399950.0,3,1.0,1470,7930,1.0,0,0,3,7,1070,400,1950,0,98177,47.7013,-122.368,1440,8100,851,Seattle,Northwest 100th Street,Blue Ridge,,,1,519935.0,119985.0
106000320,2014-10-31,401000.0,2,1.0,840,8100,1.0,0,0,4,7,840,0,1948,0,98177,47.7019,-122.366,1100,8220,10012,Seattle,8th Avenue Northwest,Blue Ridge,,,1,521300.0,120300.0
106000395,2014-06-24,405000.0,3,1.0,1410,8053,1.0,0,0,4,7,1410,0,1951,0,98177,47.704,-122.367,1170,8042,10320,Seattle,Dibble Avenue Northwest,Crown Hill,,,1,526500.0,121500.0
108000127,2014-12-09,456500.0,4,3.5,2000,2309,3.0,0,0,3,8,2000,0,2008,0,98177,47.7027,-122.361,1440,1548,10113,Seattle,3rd Avenue Northwest,,,,2,593450.0,136950.0
109000040,2015-03-16,305000.0,3,1.75,1460,7862,1.0,0,0,3,7,1460,0,1965,0,98155,47.7755,-122.299,2200,9293,2873,Lake Forest Park,Northeast 203rd Street,,,,1,396500.0,91500.0
109200390,2014-10-20,250000.0,3,1.75,1480,3900,1.0,0,0,4,7,1480,0,1980,0,98023,47.2977,-122.367,1830,6956,2614,Federal Way,Southwest 339th Street,,,,1,275000.0,25000.0
109200730,2014-05-06,218000.0,3,1.75,1850,7684,1.0,0,0,3,8,1320,530,1979,0,98023,47.2975,-122.37,1940,7630,33945,Federal Way,28th Place Southwest,,,,1,283400.0,65400.0
109210280,2014-11-11,220000.0,4,2.25,1950,7280,2.0,0,0,4,8,1950,0,1979,0,98023,47.2957,-122.37,1910,7280,2828,Federal Way,Southwest 342nd Street,,,,1,286000.0,66000.0
111000190,2015-02-09,146000.0,2,1.0,780,9750,1.0,0,0,3,6,780,0,1937,0,98168,47.4816,-122.322,1670,9750,834,Burien,South 136th Street,,,,1,189800.0,43800.0
112900020,2014-07-01,300000.0,3,2.25,1660,5128,2.0,0,0,3,7,1660,0,2001,0,98019,47.7362,-121.967,1680,4652,15100,Duvall,278th Avenue Northeast,,Crestview Estates,,1,390000.0,90000.0
112900110,2014-09-03,345000.0,3,2.5,1620,5992,2.0,0,0,3,7,1620,0,2001,0,98019,47.736,-121.965,1620,4644,27834,Duvall,Northeast 150th Street,,,,2,448500.0,103500.0
114100155,2014-06-27,355000.0,2,2.25,1330,10838,2.0,0,0,3,8,1330,0,1985,0,98028,47.7689,-122.241,1390,10310,19228,Kenmore,73rd Avenue Northeast,,,,2,461500.0,106500.0
114100234,2015-04-30,402500.0,3,2.25,2160,9540,2.0,0,0,3,8,2160,0,1979,0,98028,47.7668,-122.243,1720,12593,7228,Kenmore,Northeast 190th Court,,,,1,442750.00000000006,40250.0
114100297,2014-09-22,400000.0,3,1.75,1560,8456,1.0,0,0,5,7,1560,0,1970,0,98028,47.7769,-122.25,2230,13109,6801,Kenmore,Northeast 204th Street,,,,1,440000.00000000006,40000.0
114100314,2015-03-18,285000.0,3,1.5,1480,7117,1.0,0,0,3,7,1170,310,1960,0,98028,47.7766,-122.248,2230,14775,6828,Kenmore,Northeast 204th Street,,,,1,370500.0,85500.0
114100354,2014-12-12,249000.0,3,1.0,1090,10296,1.0,0,0,4,6,1090,0,1950,0,98028,47.7743,-122.26,1910,10296,20106,Kenmore,62nd Avenue Northeast,,,,1,323700.0,74700.0
114100758,2014-10-22,420000.0,2,1.0,960,112384,1.0,0,0,3,7,960,0,1955,0,98028,47.7642,-122.234,1210,24875,18715,Kenmore,80th Avenue Northeast,,,,1,462000.00000000006,42000.0
114100763,2014-07-28,230000.0,3,0.75,1040,15000,1.0,0,0,3,6,1040,0,1941,0,98028,47.7639,-122.234,1410,19000,18705,Kenmore,80th Avenue Northeast,,,,1,299000.0,69000.0
114100791,2015-04-03,250000.0,3,1.5,1170,9848,1.0,0,0,3,7,1170,0,1963,0,98028,47.7612,-122.234,2220,5542,18303,Kenmore,80th Avenue Northeast,,,,1,325000.0,75000.0
114101055,2014-12-23,383000.0,3,2.5,1720,10031,2.0,0,0,3,8,1720,0,1993,0,98028,47.7688,-122.238,2280,5845,19425,Kenmore,76th Court Northeast,,,,2,497900.0,114900.0
114101426,2014-06-17,375000.0,3,1.75,1160,22470,1.0,0,0,4,7,1160,0,1976,0,98028,47.7595,-122.23,1940,15999,18107,Kenmore,83rd Avenue Northeast,,,,2,487500.0,112500.0
114101500,2015-04-17,325000.0,4,1.75,1370,9993,1.0,0,0,3,6,1370,0,1918,0,98028,47.7572,-122.228,1650,11592,8408,Bothell,Northeast 178th Street,,,,1,422500.0,97500.0
114101516,2014-05-28,310000.0,3,1.0,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,8308,Kenmore,NE 176th Court,,,,1,403000.0,93000.0
114101540,2014-08-21,415000.0,3,1.0,2020,19210,1.0,0,0,3,6,1760,260,1949,0,98028,47.7552,-122.229,1780,14469,17526,Kenmore,83rd Place Northeast,,,,1,456500.00000000006,41500.0
114700150,2014-11-14,236000.0,3,1.75,1560,10919,1.0,0,0,3,7,1560,0,1975,0,98023,47.2917,-122.366,1730,10919,2405,Federal Way,Southwest 346th Street,,,,4,306800.0,70800.0
117000001,2014-05-27,540000.0,4,4.25,1960,3565,2.0,0,0,3,7,1960,0,1940,2003,98116,47.5849,-122.384,1920,5750,2113,Seattle,41st Avenue Southwest,Admiral,,,1,594000.0,54000.0
120059044,2015-02-17,250000.0,3,1.75,1628,286355,1.0,0,0,3,7,1628,0,1996,0,98092,47.2558,-122.122,1490,216344,38606,Auburn,Auburn Enumclaw Road Southeast,,,,1,325000.0,75000.0
121039038,2014-08-19,169000.0,3,1.5,1470,18459,2.0,0,0,4,6,1470,0,1916,0,98023,47.3302,-122.36,1750,16074,30326,Federal Way,21st Avenue Southwest,,Forest Cove Apartments,,1,219700.0,50700.0
121039156,2015-01-09,249000.0,3,1.0,1030,24750,1.0,0,2,3,5,1030,0,1943,0,98023,47.3343,-122.362,2810,28800,29808,Federal Way,23rd Avenue Southwest,Adelaide,,,1,273900.0,24900.0
121059007,2014-08-08,210000.0,4,1.0,1200,43560,1.0,0,0,3,5,1200,0,1968,0,98042,47.3375,-122.123,1400,54450,29440,Kent,164th Avenue Southeast,,,,1,273000.0,63000.0
123000110,2014-09-30,520000.0,2,1.0,910,5000,1.0,0,0,3,7,910,0,1924,0,98107,47.6733,-122.37,1050,5000,926,Seattle,Northwest 61st Street,,,,1,572000.0,52000.0
123039207,2014-12-09,283000.0,4,2.0,2100,8160,1.0,0,0,3,7,1200,900,1959,0,98106,47.5145,-122.365,1140,8160,9839,Seattle,25th Avenue Southwest,,,,1,311300.0,28300.0
123039279,2014-07-11,165000.0,2,1.0,640,7768,1.0,0,0,3,6,640,0,1942,0,98106,47.515,-122.359,840,7424,9816,Seattle,20th Avenue Southwest,,,,1,214500.0,49500.0
123039333,2014-06-09,240000.0,4,1.0,1910,16320,1.5,0,0,3,6,1910,0,1934,0,98106,47.5151,-122.366,1380,9000,9817,Seattle,26th Avenue Southwest,,,,1,312000.0,72000.0
123039336,2014-12-08,244900.0,1,1.0,620,8261,1.0,0,0,3,5,620,0,1939,0,98106,47.5138,-122.364,1180,8244,2464,White Center,Southwest 100th Street,,,,1,318370.0,73470.0
123039364,2014-05-21,300000.0,2,1.0,970,13700,1.0,0,0,3,6,970,0,1949,0,98106,47.515,-122.362,1570,10880,9807,Seattle,22nd Avenue Southwest,,,,1,330000.0,30000.0
123039420,2015-04-28,309000.0,3,1.0,1300,7200,1.0,0,0,4,7,1300,0,1952,0,98146,47.5063,-122.369,1740,7100,10704,Seattle,29th Place Southwest,,,,1,339900.0,30900.0
123039424,2014-07-10,303000.0,2,2.0,970,9750,1.0,0,0,5,6,970,0,1940,0,98146,47.5073,-122.372,1850,9000,10630,Seattle,31st Avenue Southwest,Arroyo Heights,,,1,333300.0,30300.0
123039604,2014-07-01,102500.0,2,1.0,820,4320,1.0,0,0,3,5,820,0,1937,0,98106,47.514,-122.359,780,7424,9852,Seattle,20th Avenue Southwest,,,,1,133250.0,30750.0
123039626,2014-10-22,295000.0,3,2.25,1330,7200,1.0,0,0,3,7,900,430,1974,0,98146,47.5102,-122.364,1380,9570,2420,Seattle,Southwest 104th Street,,,,1,324500.0,29500.0
123039633,2014-09-09,359950.0,3,1.75,1570,6975,1.0,0,0,3,7,1040,530,1979,0,98126,47.5137,-122.37,1280,7813,9928,Seattle,30th Avenue Southwest,,,,1,395945.00000000006,35995.0
124069032,2014-05-05,600000.0,3,1.75,1670,39639,1.0,0,0,4,8,1670,0,1976,1992,98075,47.5929,-121.989,2330,30492,1705,Sammamish,East Beaver Lake Drive Southeast,,,,1,780000.0,180000.0
125039025,2014-06-11,530000.0,3,1.75,1550,3680,1.0,0,0,3,7,1050,500,1927,0,98117,47.6817,-122.36,1560,4000,209,Seattle,Northwest 73rd Street,,,,1,583000.0,53000.0
125059138,2014-07-22,510000.0,6,4.5,3300,7561,2.0,0,0,3,8,3300,0,1980,0,98052,47.6795,-122.104,2470,7561,8543,Redmond,Avondale Road Northeast,,,,2,663000.0,153000.0
125059178,2014-07-22,510000.0,6,4.5,3300,7480,2.0,0,0,3,8,3300,0,1980,0,98052,47.6796,-122.104,2470,7561,8543,Redmond,Avondale Road Northeast,,,,2,663000.0,153000.0
125059179,2014-07-23,510000.0,6,4.5,3300,7200,2.0,0,0,3,8,3300,0,1980,0,98052,47.6798,-122.104,2470,7561,8653,Redmond,Avondale Road Northeast,,,,2,663000.0,153000.0
126039213,2014-12-03,365500.0,2,1.0,1140,15624,1.0,0,0,4,6,1140,0,1909,0,98177,47.7673,-122.367,2110,15493,812,Shoreline,Northwest 190th Street,,,,1,475150.0,109650.0
126039252,2014-07-09,415000.0,4,1.5,1840,11367,1.5,0,0,4,7,1840,0,1950,0,98177,47.7656,-122.358,1690,9800,18800,Shoreline,1st Avenue Northwest,,,,1,539500.0,124500.0
126039256,2014-09-04,434900.0,3,2.0,1520,5040,2.0,0,0,3,7,1520,0,1977,2006,98177,47.777,-122.362,1860,8710,344,Shoreline,Northwest 203rd Street,,,,1,565370.0,130470.0
126039305,2014-10-13,345000.0,1,1.0,540,10125,1.0,0,0,3,5,540,0,1961,0,98177,47.7739,-122.358,1840,10125,57,Shoreline,Northwest 200th Street,,,,1,448500.0,103500.0
126039323,2015-02-24,417500.0,5,1.75,2060,10911,1.0,0,0,4,7,1360,700,1954,0,98177,47.7767,-122.365,2060,9688,599,Shoreline,Northwest 203rd Place,,,,1,542750.0,125250.0
126039394,2015-05-08,525000.0,4,2.75,2300,26650,1.0,0,0,4,8,2300,0,1950,0,98177,47.7771,-122.362,2000,9879,344,Shoreline,Northwest 203rd Street,,,,1,577500.0,52500.0
126039413,2014-07-10,469000.0,5,2.5,2690,11745,1.0,0,0,3,8,1790,900,1960,0,98177,47.7708,-122.362,2670,7905,346,Shoreline,Northwest 195th Street,,,,1,515900.00000000006,46900.0
126039599,2015-03-26,475000.0,4,2.25,1800,7200,1.0,0,0,3,7,1230,570,1979,0,98177,47.7717,-122.376,2260,7498,1491,Shoreline,Northwest 197th Street,,,,1,522500.00000000006,47500.0
126049100,2014-11-04,398000.0,3,1.75,1830,27468,1.0,0,0,3,7,1830,0,1954,0,98028,47.7754,-122.233,1860,10180,20318,Kenmore,80th Avenue Northeast,,,,1,437800.00000000006,39800.0
126049167,2014-06-19,380000.0,4,2.25,2150,20181,1.0,0,0,3,7,1090,1060,1963,0,98028,47.7627,-122.245,2150,10480,18513,Kenmore,71st Avenue Northeast,,,,2,494000.0,114000.0
126049217,2014-06-04,400000.0,3,1.75,1530,10731,1.0,0,0,3,7,1530,0,1986,0,98028,47.7655,-122.244,2100,12593,18917,Kenmore,72nd Court Northeast,,,,1,440000.00000000006,40000.0
126059018,2015-01-08,395000.0,4,2.25,1780,10748,2.0,0,0,4,8,1780,0,1964,0,98072,47.762,-122.11,2070,37680,17202,Cottage Lake,Northeast Woodinville Duvall Road,,,,1,513500.0,118500.0
